Date;Hour;Down;Up;Total;max Rate;avg Rate;avg Rate values;95% Rate
2017-08-14 13:00;13;1384.247;6394.037;7778.284;23203;10588;147;12882
2017-08-14 14:00;14;1330.347;6337.508;7667.855;17955;9701;78;11503
